category;name;type;default;values_min;max;remark
Script Execution;on_event_end;String;;;;The full path and file name of the program/script to be executed when a event ends. An event ends after the event_gap has expired. 
Script Execution;on_picture_save;String;;;;The full path and file name of the program/script to be executed when a picture is saved. Use %f for passing filename (with full path) to the command. 
Script Execution;on_motion_detected;String;;;;The full path and file name of the program/script to be executed when motion is detected. 
Script Execution;on_area_detected;String;;;;The full path and file name of the program/script to be executed when motion is detected in the predefined area indicated in the area_detect option. Use %f for passing filename (with full path) to the command. 
Script Execution;on_movie_start;String;;;;The full path and file name of the program/script to be executed when a new movie is being created.
Script Execution;on_movie_end;String;;;;The full path and file name of the program/script to be executed after a new movie was created. Use %f for passing filename (with full path) to the command.
Script Execution;on_camera_lost;String;;;;"The full path and file name of the command to be executed when a camera can't be opened or if it is lost.
Note that there are situations when motion doesn't detect a lost camera. It is dependent upon the camera and driver and it is advised that this option be tested for each configuration. It has also been observed that there are also situations in which the disconnection of the camera even hangs the PC in which case this script will not be executed."
Script Execution;on_camera_found;String;;;;The full path and file name of the command to be executed when a lost camera is found If motion fails to detect a lost camera, it will also fail to know it found one.
Output - General Options;quiet;Boolean;off;;;Be quiet, don't output beeps when detecting motion. Only works in non-daemon mode.
Output - General Options;pre_capture;Integer;0;0;100;Specifies the number of pre-captured (buffered) pictures from before motion was detected that will be output at motion detection. The recommended range is 0 to 5. It is not recommended to use large values. Large values will cause Motion to skip video frames and cause unsmooth movies.
Output - General Options;post_capture;Integer;0;0;2147483647;Specifies the number of frames to be captured after motion has been detected. The purpose of this is mainly to create smooth video clips each time motion is detected. Use it to you personal taste (and disk space).
Output - General Options;target_dir;String;;;;The full path for the target directory for picture and movie files to be saved. The default is the current working directory. This is the target directory for all snapshots, images files and movie files. You will normally always want to specify this parameter as an absolute path. Not defined = current working directory
Output - Picture Options;output_pictures;String;on;on,off,first,best;;"on' is the usual selection. 'first' is Motion saves only the first motion detected picture per event. 'best' requires a little more CPU power and resources compared to ""first"". If you set it to ""best"" Motion saves the picture with most changed pixels during the event. This may be useful if you store movies on a server and want to present a jpeg to show the content of the movie on a webpage. 'off' to don't write pictures."
Output - Picture Options;output_debug_pictures;Boolean;off;;;Output pictures with only the moving object. This feature generates the special motion type movies where you only see the pixels that changes as a graytone image. If labelling is enabled you see the largest area in blue. If a Smartmask is specified, it is shown in red. This option is good for tuning and testing but probably not very interesting for the general public.
Output - Picture Options;quality;Integer;75;0;100;The quality for the jpeg or webp images in percent. 100 means hardly compressed. A small number means a much smaller file size but also a poorer quality image to look at.
Output - Picture Options;picture_type;String;;;;This option specifies the type of picture file to output. The recommendation is to always use jpg except if you have a specific need to store high quality pictures without any quality loss.
Output - Picture Options;snapshot_interval;Integer;0;0;2147483647;This parameter specifies the number of seconds between each snapshot 
Output - Picture Options;snapshot_filename;String;%v-%Y%m%d%H%M%S-snapshot;;;This option indicates the file name and optionally the path for the snapshots (jpeg or ppm) relative to target_dir. The file extension .jpg or .ppm is automatically added. A symbolic link called lastsnap.jpg (or lastsnap.ppm) is created in the target_dir and will always point to the latest snapshot, unless snapshot_filename is exactly 'lastsnap'
Output - Picture Options;picture_filename;String;%v-%Y%m%d%H%M%S-%q;;;This option indicates the file name and optionally the path for the pictures (jpeg or ppm) relative to target_dir. The file extension .jpg or .ppm is automatically added. 
Output - Picture Options;exif_text;String;;;;Use this option to specify the text to include in a JPEG EXIF comment The EXIF timestamp is included independent of this text.
Output - Movie Options;max_movie_time;Integer;3600;0;2147483647;The maximum length of a movie in seconds. Set this to zero for unlimited length.
Output - Movie Options;ffmpeg_output_movies;Boolean;off;;;Use ffmpeg libraries to encode movies of the motion. This option generates a new movie at the beginning of each new event and appends to the movie for each motion detected within the same event. The current event ends when the time defined by the 'event_gap' option has passed with no motion detected. At the next detection of motion a new movie is started. 
Output - Movie Options;ffmpeg_output_debug_movies;Boolean;off;;;Use ffmpeg libraries to encode motion type movies where you only see the pixels that changes. Works like ffmpeg_output_movies but outputs motion pixel type pictures instead. This feature generates the special motion type movie where you only see the pixels that changes as a graytone image. If labeling is enabled you see the largest area in blue. Smartmask is shown in red. The filename given is the same as the normal movies except they have an 'm' appended after the filename.
Output - Movie Options;ffmpeg_bps;Integer;400000;0;9999999;Bitrate of movies produced by ffmpeg. Bitrate is bits per second. A higher value means better quality and larger files if the camera is on a fixed bitrate setting. Experiment to get the desired quality. The better quality the bigger files. This option is ignored if ffmpeg_variable_bitrate is not 0 (disabled).
Output - Movie Options;ffmpeg_variable_bitrate;Integer;0;0;100;Enables and defines a variable bitrate for the ffmpeg encoder. The option of ffmpeg_bps is ignored if variable bitrate is enabled. A value of 0 disables this option while values 1 - 100 varies the quality of the movie. The value of 1 means worst quality and 100 is the best quality. Experiment for the value that gives you the desired compromise between size and quality.
Output - Movie Options;ffmpeg_video_codec;String;mpeg4;mpeg4,msmpeg4,swf,flv,ffv1,mov,ogg,mp4,mkv,hevc;;Note that certain containers can handle different codecs than the defaults indicated above. For example, the mkv container can handle virtually any codec. Motion can optionally take an additional specification with this parameter. By specifying the container (mkv) and then appending a semicolon and the ffmpeg codec name Motion will attempt to use the specified codec for the container. This permits options such as encoding the h265 codec into a mkv container instead of mp4 by specifying the option as mkv:h265
Output - Movie Options;ffmpeg_duplicate_frames;Boolean;off;;;"When specified, if the CPU can not keep up with the requested frame rate for the movies, frames will be duplicated in order to keep up with the frame rate. Use this option with care since the resulting movies will have the same frame sent multiple times and therefore the movie may appear to ""stall"" and look terrible."
Output - Movie Options;movie_filename;String;%v-%Y%m%d%H%M%S;;;File path for motion triggered movies relative to target_dir. Note that the file extension is automatically added to the name based upon the codec selected.
Output - Movie Options;timelapse_filename;String;%v-%Y%m%d-timelapse;;;File path for the timelapse videos relative to target_dir. Note that the file extension is automatically added to the name based upon the codec selected.
Output - Movie Options;timelapse_interval;Integer;0;0;2147483647;Create a timelapse video saving a picture frame at the interval in seconds set by this parameter. 
Output - Movie Options;timelapse_mode;String;daily;hourly,daily,weekly-sunday,weekly-monday,monthly,manual;;The file rollover mode of the timelapse video. Note that it is important that you use the Conversion Specifiers in timelapse_filename that ensure that the new timelapse file indeed is a new file. If the filename does not change Motion will simply append the timelapse pictures to the existing file. The value 'Manual' means that Motion does not automatically rollover to a new filename. You can do it manually using the http control interface by setting the option timelapse_interval to 0 and then back to your chosen value.
Output - Movie Options;timelapse_codec;String;mpg;mpg,mpeg4;;"Container/Codec to be used by timelapse video. 'mpg' - Creates mpg file with mpeg-2 encoding. If Motion is shutdown and restarted, new pics will be appended to any previously created file with name indicated for timelapse. 'mpeg4' - Creates avi file with the default encoding. If Motion is shutdown and restarted, new pics will create a new file with the name indicated for timelapse.
"
Output - Movie Options;timelapse_fps;Integer;30;0;2147483647;The frame per second rate to use in the playback of the timelapse video.
Output - Pipe Options;video_pipe;String;;;;Default: not set The video4linux video loopback device for normal images. The device would be specified in the format like /dev/video1
Output - Pipe Options;motion_video_pipe;String;;;;The video4linux video loopback device for motion images. The device would be specified in the format like /dev/video1
Output - Pipe Options;use_extpipe;String;;;;"This option specifies whether to send the output to a pipe for external encoding into a movie. Piping raw video to stdout has some advantages comparing to using built-in ffmpeg encoder.
First, you can use any encoder that supports RAW frames from stdin so you are not limited to the formats that are currently implemented in motion. Second, external encoders utilize separate cpu core(s) on multi-core systems so movie encoding is offloaded from main motion thread to separate core(s) giving noticeable performance boost."
Output - Pipe Options;extpipe;String;;;;This option specifies the program name and options for the program that will receive and process the images during a movie event. 
Stream and Webcontrol;ipv6_enabled;Boolean;off;;;Listen to IPv6 localhost instead of IPv4 (default: off)
Stream and Webcontrol;stream_port;Integer;0;0;65535;The TCP port that Motion will send the main stream. Each camera must have its own unique port number and it must also be different from the webcontrol_port number. A good value to select is 8081 for camera 1, 8082 for camera 2, 8083 for camera 3 etc. This must be placed in the camera config file (unless you only have one camera, in which case it can be placed in motion.conf). 
Stream and Webcontrol;substream_port;Integer;0;0;65535;"TCP Port to use for providing a 50% scaled down ""substream"". The substream shares all the same settings as main stream and only scales the image down to reduce the required bandwidth. Each camera must have its own unique port number and it must also be different from the webcontrol_port number. This must be placed in the camera config file (unless you only have one camera, in which case it can be placed in motion.conf). "
Stream and Webcontrol;stream_quality;Integer;50;1;100;"Quality setting in percent for the mjpeg picture frames transferred over the webcam connection. Keep it low to restrict needed bandwidth.
The mjpeg stream consists of a header followed by jpeg frames separated by content-length and the boundary string.
The quality level defines the size of the individual jpeg pictures in the mjpeg stream. If you set it too high you need a lot of bandwidth to view the stream."
Stream and Webcontrol;stream_motion;Boolean;off;;;When set to 'on', slow down the stream to 1 picture per second when no motion is detected. When motion is detected the stream runs as defined by stream_maxrateWhen 'off' the stream always runs as defined by stream_maxrate. Use this option to save bandwidth when there is not anything important to see from the camera anyway.
Stream and Webcontrol;stream_maxrate;Integer;1;1;100;Limit the framerate of the stream in frames per second. Set the value to 100 for practically unlimited. Don't set this parameter too high unless you only use it on the localhost or on an internal LAN.
Stream and Webcontrol;stream_localhost;Boolean;on;;;Limits the access to the stream to the localhost. By setting this to on, the stream can only be accessed on the same machine on which Motion is running.
Stream and Webcontrol;stream_limit;Integer;0;0;2147483647;This parameter limits the maximum number of images per connection and is determined by multiplying actual stream rate by desired number of seconds (default: 0 = unlimited).
Stream and Webcontrol;stream_auth_method;Integer;0;0;2;This parameter establishes desired authentication method for the stream and web control ports. The parameters have the following meaning. 0 = disabled, 1 = Basic authentication, 2 = MD5 digest (the safer authentication)
Stream and Webcontrol;stream_authentication;String;;;;This parameter establishes the username and password to use for the stream. The syntax is username:password 
Stream and Webcontrol;stream_preview_scale;Integer;25;0;2147483647;If the webcontrol page has HTML enabled, Motion displays all of the streams on the home webcontrol page in HTML format so that all the images can be viewed by standard browsers.This parameter indicates the percentage to scale the stream image when it is placed on the page. Note that this is scaled on the browser side, Motion will keep sending full frame. Numbers greater than 100 are permitted.
Stream and Webcontrol;stream_preview_newline;Boolean;on;;;If the webcontrol page has HTML enabled, Motion displays all images of the streams on the home webcontrol page in HTML format so that all the images can be viewed by standard browsers. This parameter determines whether the image is placed on a new line in the webcontrol web page. 
Stream and Webcontrol;webcontrol_port;Integer;0;0;65535;Sets the port number for the http based control of the Motion parameters. This option must be placed in the motion.conf file and not in a camera config file. Port numbers below 1024 normally require that you have root privileges. The port 8080 is the typical selection of the port for this purpose. 
Stream and Webcontrol;webcontrol_localhost;Boolean;on;;;This option restricts the control of the Motion parameters to the localhost. This option must be placed in motion.conf and not in a camera config file. By setting this to on, the control using http (browser) can only be accessed on the same machine on which Motion is running.
Stream and Webcontrol;webcontrol_html_output;Boolean;on;;;"Enable HTML in the answer sent back to a browser connecting to the webcontrol_port. This option must be placed in motion.conf and not in a camera config file. The recommended value for most is ""on"" which means that you can navigate and control Motion with a normal browser. By setting this option to ""off"" the replies are in plain text which may be easier to parse for 3rd party programs that control Motion. "
Stream and Webcontrol;webcontrol_authentication;String;;;;This parameter establishes the username and password to use for the stream. The syntax is username:password 
Stream and Webcontrol;webcontrol_parms;Integer;0;0;3;"Sets the type of parameters that will be listed on the webcontrol page and available for modification. 0: None - No configuration parameters will be available. 1: Limited- A limited list of parameters will be available. 2: Advanced - The advanced list of parameters will be available. These typically require Motion to be restarted to become effective.
    3: Restricted - User IDs, passwords and ""On"" commands.

The default for this parameter is 0 none to enhance the security of the web interface. "
Database;sql_log_picture;Boolean;on;;;Log to the database when Motion triggers a image file to be saved.
Database;sql_log_snapshot;Boolean;on;;;Log to the database when creating a snapshot image file. 
Database;sql_log_movie;Boolean;off;;;Log to the database when creating motion triggered movie file.
Database;sql_log_timelapse;Boolean;off;;;Log to the database when creating timelapse movie file 
Database;sql_query;String;;;;SQL query string that is sent to the database when the sql_log_* item is triggered.
Database;sql_query_start;String;;;;SQL query that executes against the event table which tracks the unique events of motion. 
Database;database_type;String;;mysql,postgresql,sqlite3;;This option specifies the database type.
Database;database_dbname;String;;;;The name of the database. For Sqlite3, the full path and name to the database.
Database;database_host;String;;;;The host on which the database is located.
Database;database_user;String;;;;The user account name for database.
Database;database_password;String;;;;The user password for database.
Database;database_port;Integer;0;0;65535;The port number that is used for the database. Typical values are: mysql=3306 and postgresql=5432 
Database;database_busy_timeout;Integer;0;0;2147483647;If the database is busy when the request is issued, this parameter indicates the time to wait in milliseconds before issuing a timeout message.
Tracking;track_type;Integer;0;0;5;Type of tracker. Motion has special tracking options which use either a serial stepper motor controller, an iomojo smile cam or a Philips WebCam driver compatible pan/tilt camera such as the Logitech Quickcam Sphere or Orbit. 1 (stepper), 2 (iomojo), 3 (pwc), 4 (generic), 5 (uvcvideo)
Tracking;track_auto;Boolean;off;;;Enable auto tracking Requires a tracking camera type supported by Motion. 
Tracking;track_port;String;;;;This is the device name of the serial port to which the stepper motor interface is connected. Only used for stepper motor tracking. 
Tracking;track_motorx;Integer;0;0;2147483647;Motor number for x-axis (default: 0)
Tracking;track_motorx_reverse;Integer;0;0;2147483647;Set motorx reverse (default: 0)
Tracking;track_motory;Integer;0;0;2147483647;Motor number for y-axis (default: 0)
Tracking;track_motory_reverse;Integer;0;0;2147483647;Set motory reverse (default: 0)
Tracking;track_maxx;Integer;0;0;2147483647;Maximum value on x-axis (default: 0)
Tracking;track_minx;Integer;0;0;2147483647;Minimum value on x-axis (default: 0)
Tracking;track_maxy;Integer;0;0;2147483647;Maximum value on y-axis (default: 0)
Tracking;track_miny;Integer;0;0;2147483647;Minimum value on y-axis (default: 0)
Tracking;track_homex;Integer;0;0;2147483647;Center value on x-axis (default: 0)
Tracking;track_homey;Integer;0;0;2147483647;Center value on y-axis (default: 0)
Tracking;track_iomojo_id;Integer;0;0;2147483647;Use this option if you have an iomojo smilecam connected to the serial port instead of a general stepper motor controller. Only used for iomojo camera.
Tracking;track_step_angle_x;Integer;0;0;2147483647;Angle in degrees the camera moves per step on the X-axis with auto tracking. Currently only used with pwc type cameras. Requires a tracking camera type pwc.
Tracking;track_step_angle_y;Integer;0;0;2147483647;Angle in degrees the camera moves per step on the Y-axis with auto tracking. Currently only used with pwc type cameras. Requires a tracking camera type pwc.
Tracking;track_move_wait;Integer;0;0;2147483647;Delay during which tracking is disabled after auto tracking has moved the camera. Delay is defined as number of picture frames. The actual delay is depending on the chosen framerate. If you want the camera to move maximum once every 2 seconds and the framerate is 10 then you need to set the track_move_wait value to 2 * 10 = 20. 
Tracking;track_speed;Integer;0;0;2147483647;Speed to set the motor to. Only used for stepper motor tracking. 
Tracking;track_stepsize;Integer;0;0;2147483647;Number of steps to make. Only used for stepper motor tracking.
